"Cells"	"Patients"
"F9_P2_M55_L001"	"P1"
"G10_P3_M55_L001"	"P1"
"G10_P4_M55_L001"	"P1"
"G12_P1_M55_L001"	"P1"
"G1_P3_M55_L001"	"P1"
"G1_P4_M55_L001"	"P1"
"G2_P1_M55_L001"	"P1"
"G2_P2_M55_L001"	"P1"
"G3_P1_M55_L001"	"P1"
"G3_P4_M55_L001"	"P1"
"G4_P2_M55_L001"	"P1"
"G4_P3_M55_L001"	"P1"
"G5_P2_M55_L001"	"P1"
"G5_P3_M55_L001"	"P1"
"G5_P4_M55_L001"	"P1"
"G6_P1_M55_L001"	"P1"
"G6_P2_M55_L001"	"P1"
"G6_P4_M55_L001"	"P1"
"G7_P1_M55_L001"	"P1"
"G7_P3_M55_L001"	"P1"
"G8_P1_M55_L001"	"P1"
"G8_P2_M55_L001"	"P1"
"G8_P3_M55_L001"	"P1"
"G8_P4_M55_L001"	"P1"
"G9_P1_M55_L001"	"P1"
"G9_P2_M55_L001"	"P1"
"G9_P3_M55_L001"	"P1"
"G9_P4_M55_L001"	"P1"
"H10_P1_M55_L001"	"P1"
"H10_P2_M55_L001"	"P1"
"H10_P4_M55_L001"	"P1"
"H11_P1_M55_L001"	"P1"
"H11_P3_M55_L001"	"P1"
"H12_P3_M55_L001"	"P1"
"H1_P1_M55_L001"	"P1"
"H1_P2_M55_L001"	"P1"
"H1_P4_M55_L001"	"P1"
"H2_P1_M55_L001"	"P1"
"H2_P2_M55_L001"	"P1"
"H2_P4_M55_L001"	"P1"
"H3_P1_M55_L001"	"P1"
"H3_P4_M55_L001"	"P1"
"H5_P1_M55_L001"	"P1"
"H5_P2_M55_L001"	"P1"
"H5_P3_M55_L001"	"P1"
"H6_P1_M55_L001"	"P1"
"H6_P2_M55_L001"	"P1"
"H7_P1_M55_L001"	"P1"
"H7_P4_M55_L001"	"P1"
"H8_P1_M55_L001"	"P1"
"H8_P3_M55_L001"	"P1"
"H8_P4_M55_L001"	"P1"
"H9_P1_M55_L001"	"P1"
"H9_P3_M55_L001"	"P1"
"H9_P4_M55_L001"	"P1"
"A10_P1_M39"	"P2"
"A10_P2_M39"	"P2"
"A11_P1_M39"	"P2"
"A11_P2_M39"	"P2"
"A11_P4_M39"	"P2"
"A12_P3_M39"	"P2"
