Cells	Patients
B10_P4_MMD1.84B_L001	P5
B11_P1_MMD1.84B_L001	P5
B11_P2_MMD1.84B_L001	P5
B11_P3_MMD1.84B_L001	P5
B12_P1_MMD1.84B_L001	P5
B12_P3_MMD1.84B_L001	P5
B12_P4_MMD1.84B_L001	P5
B1_P1_MMD1.84B_L001	P5
B1_P2_MMD1.84B_L001	P5
B2_P1_MMD1.84B_L001	P5
B2_P2_MMD1.84B_L001	P5
B2_P4_MMD1.84B_L001	P5
B3_P2_MMD1.84B_L001	P5
B3_P3_MMD1.84B_L001	P5
B5_P1_MMD1.84B_L001	P5
B5_P3_MMD1.84B_L001	P5
B5_P4_MMD1.84B_L001	P5
B6_P2_MMD1.84B_L001	P5
B7_P1_MMD1.84B_L001	P5
B7_P2_MMD1.84B_L001	P5
B7_P4_MMD1.84B_L001	P5
B8_P1_MMD1.84B_L001	P5
B8_P3_MMD1.84B_L001	P5
B8_P4_MMD1.84B_L001	P5
B9_P3_MMD1.84B_L001	P5
C10_P4_MMD1.84B_L001	P5
C11_P3_MMD1.84B_L001	P5
C11_P4_MMD1.84B_L001	P5
C12_P2_MMD1.84B_L001	P5
C12_P3_MMD1.84B_L001	P5
C12_P4_MMD1.84B_L001	P5
C1_P1_MMD1.84B_L001	P5
C2_P1_MMD1.84B_L001	P5
C2_P4_MMD1.84B_L001	P5
C3_P1_MMD1.84B_L001	P5
C3_P3_MMD1.84B_L001	P5
C4_P1_MMD1.84B_L001	P5
C4_P2_MMD1.84B_L001	P5
C4_P4_MMD1.84B_L001	P5
C5_P1_MMD1.84B_L001	P5
C5_P2_MMD1.84B_L001	P5
C5_P3_MMD1.84B_L001	P5
C5_P4_MMD1.84B_L001	P5
C6_P1_MMD1.84B_L001	P5
C6_P2_MMD1.84B_L001	P5
C6_P3_MMD1.84B_L001	P5
C7_P1_MMD1.84B_L001	P5
C7_P2_MMD1.84B_L001	P5
C7_P4_MMD1.84B_L001	P5
C8_P3_MMD1.84B_L001	P5
C8_P4_MMD1.84B_L001	P5
